Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
477,Brad Keller\kellebr01,23,KCR,AL,7,14,0.333,4.19,28,28,0,0,0,0,165.1,154,80,77,15,70,2,122,9,1,9,709,113,4.35,1.355,8.4,0.8,3.8,6.6,1.74
694,Martin Perez*\perezma02,28,MIN,AL,10,7,0.588,5.12,32,29,0,0,0,0,165.1,184,104,94,23,67,1,135,3,1,3,737,90,4.66,1.518,10,1.3,3.6,7.3,2.01
757,Tanner Roark\roarkta01,32,TOT,MLB,10,10,0.5,4.35,31,31,0,0,0,0,165.1,180,84,80,28,51,1,158,13,0,3,722,103,4.67,1.397,9.8,1.5,2.8,8.6,3.1
530,Joey Lucchesi*\lucchjo01,26,SDP,NL,10,10,0.5,4.18,30,30,0,0,0,0,163.2,144,78,76,23,56,0,158,2,0,8,686,101,4.17,1.222,7.9,1.3,3.1,8.7,2.82
62,Homer Bailey\baileho02,33,TOT,AL,13,9,0.591,4.57,31,31,0,0,0,0,163.1,162,84,83,21,53,1,149,4,1,4,696,99,4.11,1.316,8.9,1.2,2.9,8.2,2.81
263,Zach Eflin\eflinza01,25,PHI,NL,10,13,0.435,4.13,32,28,3,2,1,0,163.1,172,88,75,28,48,5,129,6,0,1,705,109,4.85,1.347,9.5,1.5,2.6,7.1,2.69
144,Dylan Bundy\bundydy01,26,BAL,AL,7,14,0.333,4.79,30,30,0,0,0,0,161.2,161,95,86,29,58,0,162,6,1,7,700,99,4.73,1.355,9,1.6,3.2,9,2.79
487,Yusei Kikuchi*\kikucyu01,28,SEA,AL,6,11,0.353,5.46,32,32,0,1,1,0,161.2,195,109,98,36,50,0,116,6,1,5,721,80,5.71,1.515,10.9,2,2.8,6.5,2.32
394,J.A. Happ*\happja01,36,NYY,AL,12,8,0.6,4.91,31,30,0,0,0,0,161.1,160,88,88,34,49,1,140,5,0,3,678,90,5.22,1.295,8.9,1.9,2.7,7.8,2.86
569,Steven Matz*\matzst01,28,NYM,NL,11,10,0.524,4.21,32,30,0,1,1,0,160.1,163,83,75,27,52,7,153,7,0,3,691,96,4.6,1.341,9.1,1.5,2.9,8.6,2.94
342,Kyle Gibson\gibsoky01,31,MIN,AL,13,7,0.65,4.84,34,29,0,0,0,0,160,175,99,86,23,56,0,160,7,0,8,706,95,4.26,1.444,9.8,1.3,3.2,9,2.86
208,Zach Davies\davieza02,26,MIL,NL,10,7,0.588,3.55,31,31,0,0,0,0,159.2,155,73,63,20,51,0,102,2,0,4,672,125,4.56,1.29,8.7,1.1,2.9,5.7,2
655,Jake Odorizzi\odorija01,29,MIN,AL,15,7,0.682,3.51,30,30,0,0,0,0,159,139,65,62,16,53,0,178,4,0,4,658,131,3.36,1.208,7.9,0.9,3,10.1,3.36
84,Trevor Bauer\bauertr01,28,CLE,AL,9,8,0.529,3.79,24,24,0,1,1,0,156.2,127,76,66,22,63,0,185,14,0,8,664,124,4.15,1.213,7.3,1.3,3.6,10.6,2.94
586,John Means*\meansjo01,26,BAL,AL,12,11,0.522,3.6,31,27,1,0,0,0,155,138,68,62,23,38,0,121,5,0,5,637,131,4.41,1.135,8,1.3,2.2,7,3.18
931,Trent Thornton\thorntr01,25,TOR,AL,6,9,0.4,4.84,32,29,0,0,0,0,154.1,156,87,83,24,61,0,149,5,0,5,677,94,4.59,1.406,9.1,1.4,3.6,8.7,2.44
541,Kenta Maeda\maedake01,31,LAD,NL,10,8,0.556,4.04,37,26,3,0,0,3,153.2,114,70,69,22,51,1,169,4,0,3,624,102,3.95,1.074,6.7,1.3,3,9.9,3.31
860,Caleb Smith*\smithca03,27,MIA,NL,10,11,0.476,4.52,28,28,0,0,0,0,153.1,128,82,77,33,60,2,168,6,1,6,646,94,5.11,1.226,7.5,1.9,3.5,9.9,2.8
679,James Paxton*\paxtoja01,30,NYY,AL,15,6,0.714,3.82,29,29,0,0,0,0,150.2,138,71,64,23,55,0,186,2,1,7,633,116,3.86,1.281,8.2,1.4,3.3,11.1,3.38
159,Andrew Cashner\cashnan01,32,TOT,AL,11,8,0.579,4.68,42,23,3,0,0,1,150,144,84,78,19,58,0,108,4,0,8,636,102,4.66,1.347,8.6,1.1,3.5,6.5,1.86
362,Jon Gray\grayjo02,27,COL,NL,11,8,0.579,3.84,26,25,1,0,0,0,150,147,70,64,19,56,4,150,4,0,7,637,135,4.06,1.353,8.8,1.1,3.4,9,2.68
508,Eric Lauer*\lauerer01,24,SDP,NL,8,10,0.444,4.45,30,29,0,0,0,0,149.2,158,82,74,20,51,4,138,5,1,4,651,95,4.23,1.396,9.5,1.2,3.1,8.3,2.71
949,Jason Vargas*\vargaja01,36,TOT,NL,7,9,0.438,4.51,30,29,1,1,1,0,149.2,141,84,75,21,63,2,124,6,0,5,649,94,4.76,1.363,8.5,1.3,3.8,7.5,1.97
941,Spencer Turnbull\turnbsp01,26,DET,AL,3,17,0.15,4.61,30,30,0,0,0,0,148.1,154,86,76,14,59,1,146,16,0,9,656,104,3.99,1.436,9.3,0.8,3.6,8.9,2.47
814,Chris Sale*\salech01,30,BOS,AL,6,11,0.353,4.4,25,25,0,1,1,0,147.1,123,80,72,24,37,0,218,13,0,2,612,109,3.39,1.086,7.5,1.5,2.3,13.3,5.89
370,Zack Greinke\greinza01,35,ARI,NL,10,4,0.714,2.9,23,23,0,0,0,0,146,117,48,47,15,21,2,135,3,0,1,562,154,3.19,0.945,7.2,0.9,1.3,8.3,6.43
704,Michael Pineda\pinedmi01,30,MIN,AL,11,5,0.688,4.01,26,26,0,0,0,0,146,141,68,65,23,28,1,140,5,0,8,600,114,4.02,1.158,8.7,1.4,1.7,8.6,5
1000,Trevor Williams\willitr01,27,PIT,NL,7,9,0.438,5.38,26,26,0,0,0,0,145.2,162,93,87,27,44,3,113,7,0,2,636,79,5.12,1.414,10,1.7,2.7,7,2.57
648,Daniel Norris*\norrida01,26,DET,AL,3,13,0.188,4.49,32,29,0,0,0,0,144.1,154,75,72,25,38,0,125,4,0,5,610,107,4.61,1.33,9.6,1.6,2.4,7.8,3.29
82,Chris Bassitt\bassich01,30,OAK,AL,10,5,0.667,3.81,28,25,2,0,0,0,144,125,66,61,21,47,0,141,13,0,3,612,113,4.4,1.194,7.8,1.3,2.9,8.8,3
338,Domingo German\germado01,26,NYY,AL,18,4,0.818,4.03,27,24,0,0,0,0,143,125,69,64,30,39,0,153,5,0,5,594,110,4.72,1.147,7.9,1.9,2.5,9.6,3.92
391,Cole Hamels*\hamelco01,35,CHC,NL,7,7,0.5,3.81,27,27,0,0,0,0,141.2,141,64,60,17,56,1,143,7,0,1,617,117,4.09,1.391,9,1.1,3.6,9.1,2.55
1025,Ryan Yarbrough*\yarbrry01,27,TBR,AL,11,6,0.647,4.13,28,14,1,0,0,0,141.2,121,69,65,15,20,2,117,9,1,0,563,108,3.55,0.995,7.7,1,1.3,7.4,5.85
534,Jordan Lyles\lylesjo01,28,TOT,NL,12,8,0.6,4.15,28,28,0,0,0,0,141,131,72,65,25,55,2,146,1,0,4,599,105,4.64,1.319,8.4,1.6,3.5,9.3,2.65
667,Chris Paddack\paddach01,23,SDP,NL,9,7,0.563,3.33,26,26,0,0,0,0,140.2,107,58,52,23,31,1,153,6,1,1,568,127,3.95,0.981,6.8,1.5,2,9.8,4.94
36,Chase Anderson\anderch01,31,MIL,NL,8,4,0.667,4.21,32,27,1,0,0,0,139,126,67,65,23,50,2,124,8,1,1,592,106,4.83,1.266,8.2,1.5,3.2,8,2.48
511,Mike Leake\leakemi01,31,SEA,AL,9,8,0.529,4.27,22,22,0,2,1,0,137,153,78,65,26,19,1,100,4,0,2,576,102,4.72,1.255,10.1,1.7,1.2,6.6,5.26
876,Glenn Sparkman\sparkgl01,27,KCR,AL,4,11,0.267,6.02,31,23,2,1,1,0,136,164,96,91,30,41,1,81,6,2,6,606,78,5.93,1.507,10.9,2,2.7,5.4,1.98
54,Jake Arrieta\arrieja01,33,PHI,NL,8,8,0.5,4.64,24,24,0,0,0,0,135.2,149,76,70,21,51,3,110,7,0,7,594,97,4.89,1.474,9.9,1.4,3.4,7.3,2.16
751,Trevor Richards\richatr01,26,TOT,MLB,6,12,0.333,4.06,30,23,1,0,0,0,135.1,127,63,61,19,56,6,127,5,0,4,580,105,4.51,1.352,8.4,1.3,3.7,8.4,2.27
178,Yonny Chirinos\chiriyo01,25,TBR,AL,9,5,0.643,3.85,26,18,0,0,0,0,133.1,112,61,57,23,28,1,114,3,3,4,530,115,4.44,1.05,7.6,1.6,1.9,7.7,4.07
817,Aaron Sanchez\sanchaa01,26,TOT,AL,5,14,0.263,5.89,27,27,0,0,0,0,131.1,145,92,86,20,68,2,115,11,0,7,605,77,5.25,1.622,9.9,1.4,4.7,7.9,1.69
242,Danny Duffy*\duffyda01,30,KCR,AL,7,6,0.538,4.34,23,23,0,0,0,0,130.2,125,69,63,21,46,0,115,8,0,4,555,109,4.78,1.309,8.6,1.4,3.2,7.9,2.5
545,Tyler Mahle\mahlety01,24,CIN,NL,3,12,0.2,5.14,25,25,0,0,0,0,129.2,136,82,74,25,34,0,129,6,1,2,556,88,4.66,1.311,9.4,1.7,2.4,9,3.79
969,Michael Wacha\wachami01,27,STL,NL,6,7,0.462,4.76,29,24,0,0,0,0,126.2,143,71,67,26,55,4,104,3,0,2,562,90,5.61,1.563,10.2,1.8,3.9,7.4,1.89
186,Mike Clevinger\clevimi01,28,CLE,AL,13,4,0.765,2.71,21,21,0,0,0,0,126,96,38,38,10,37,0,169,2,0,0,499,174,2.49,1.056,6.9,0.7,2.6,12.1,4.57
816,Adrian Sampson\sampsad01,27,TEX,AL,6,8,0.429,5.89,35,15,4,1,0,0,125.1,156,86,82,29,36,1,101,9,1,4,563,88,5.69,1.532,11.2,2.1,2.6,7.3,2.81
839,Antonio Senzatela\senzaan01,24,COL,NL,11,11,0.5,6.71,25,25,0,0,0,0,124.2,161,99,93,19,57,5,76,4,3,1,582,77,5.44,1.749,11.6,1.4,4.1,5.5,1.33
907,Marcus Stroman\stromma01,28,TOR,AL,6,11,0.353,2.96,21,21,0,0,0,0,124.2,118,50,41,10,35,0,99,0,0,4,513,153,3.51,1.227,8.5,0.7,2.5,7.1,2.83
522,Jorge Lopez\lopezjo02,26,KCR,AL,4,9,0.308,6.33,39,18,8,0,0,1,123.2,140,94,87,27,42,0,109,10,0,6,548,75,5.55,1.472,10.2,2,3.1,7.9,2.6
471,Ariel Jurado\juradar01,23,TEX,AL,7,11,0.389,5.81,32,18,3,1,0,0,122.1,148,94,79,21,36,1,81,4,0,3,541,89,5.1,1.504,10.9,1.5,2.6,6,2.25
1015,Brandon Woodruff\woodrbr01,26,MIL,NL,11,3,0.786,3.62,22,22,0,0,0,0,121.2,109,49,49,12,30,0,143,5,1,1,493,123,3.01,1.142,8.1,0.9,2.2,10.6,4.77
513,Wade LeBlanc*\leblawa01,34,SEA,AL,6,7,0.462,5.71,26,8,4,0,0,0,121.1,145,80,77,28,31,1,92,1,0,0,532,76,5.49,1.451,10.8,2.1,2.3,6.8,2.97
49,Chris Archer\archech01,30,PIT,NL,3,9,0.25,5.19,23,23,0,0,0,0,119.2,114,73,69,25,55,2,143,4,0,6,526,82,5.02,1.412,8.6,1.9,4.1,10.8,2.6
954,Vince Velasquez\velasvi01,27,PHI,NL,7,8,0.467,4.91,33,23,2,0,0,0,117.1,120,69,64,26,43,2,130,9,0,5,516,92,5.21,1.389,9.2,2,3.3,10,3.02
89,Tyler Beede\beedety01,26,SFG,NL,5,10,0.333,5.08,24,22,0,0,0,0,117,127,70,66,22,46,1,113,5,0,9,523,82,5.03,1.479,9.8,1.7,3.5,8.7,2.46
299,Mike Foltynewicz\foltymi01,27,ATL,NL,8,6,0.571,4.54,21,21,0,0,0,0,117,109,65,59,23,37,2,105,2,0,5,491,100,4.97,1.248,8.4,1.8,2.8,8.1,2.84
708,Zach Plesac\plesaza01,24,CLE,AL,8,6,0.571,3.81,21,21,0,1,1,0,115.2,102,52,49,19,40,0,88,3,0,1,475,124,4.94,1.228,7.9,1.5,3.1,6.8,2.2
896,Matt Strahm*\strahma01,27,SDP,NL,6,11,0.353,4.71,46,16,4,0,0,0,114.2,121,61,60,22,22,4,118,7,1,3,487,90,4.41,1.247,9.5,1.7,1.7,9.3,5.36
867,Drew Smyly*\smylydr01,30,TOT,MLB,4,7,0.364,6.24,25,21,1,0,0,1,114,126,83,79,32,55,0,120,2,0,7,514,77,6.26,1.588,9.9,2.5,4.3,9.5,2.18
128,Steven Brault*\braulst01,27,PIT,NL,4,6,0.4,5.16,25,19,1,0,0,0,113.1,117,69,65,15,53,2,100,7,1,7,505,83,4.76,1.5,9.3,1.2,4.2,7.9,1.89
486,Dallas Keuchel*\keuchda01,31,ATL,NL,8,8,0.5,3.75,19,19,0,0,0,0,112.2,115,50,47,16,39,1,91,9,0,6,487,121,4.72,1.367,9.2,1.3,3.1,7.3,2.33
