Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
349,Zack Godley\godleza01,29,TOT,MLB,4,5,0.444,5.97,33,9,10,0,0,2,92,96,62,61,14,42,2,70,5,1,3,407,75,5.2,1.5,9.4,1.4,4.1,6.8,1.67
683,Brad Peacock\peacobr01,31,HOU,AL,7,6,0.538,4.12,23,15,1,0,0,0,91.2,78,43,42,15,31,0,96,5,1,1,383,112,4.42,1.189,7.7,1.5,3,9.4,3.1
616,Mike Montgomery*\montgmi01,29,TOT,MLB,3,9,0.25,4.95,33,13,6,0,0,0,91,113,55,50,18,34,1,69,4,0,3,402,94,5.52,1.615,11.2,1.8,3.4,6.8,2.03
905,Ross Stripling\stripro01,29,LAD,NL,4,4,0.5,3.47,32,15,4,0,0,0,90.2,84,40,35,11,20,0,93,2,0,4,370,119,3.47,1.147,8.3,1.1,2,9.2,4.65
152,Griffin Canning\cannigr01,23,LAA,AL,5,6,0.455,4.58,18,17,1,0,0,0,90.1,80,46,46,14,30,0,96,8,1,9,384,99,4.37,1.218,8,1.4,3,9.6,3.2
63,Homer Bailey\baileho02,33,KCR,AL,7,6,0.538,4.8,18,18,0,0,0,0,90,89,49,48,12,38,0,81,2,0,2,389,98,4.48,1.411,8.9,1.2,3.8,8.1,2.13
506,Peter Lambert\lambepe01,22,COL,NL,3,7,0.3,7.25,19,19,0,0,0,0,89.1,119,74,72,18,36,3,57,6,0,5,420,72,5.97,1.735,12,1.8,3.6,5.7,1.58
170,Jhoulys Chacin\chacijh01,31,MIL,NL,3,10,0.231,5.79,19,19,0,0,0,0,88.2,99,61,57,19,39,1,80,5,0,3,403,77,5.68,1.556,10,1.9,4,8.1,2.05
356,Gio Gonzalez*\gonzagi01,33,MIL,NL,3,2,0.6,3.5,19,17,0,0,0,0,87.1,76,36,34,9,37,0,78,0,0,5,366,127,4.04,1.294,7.8,0.9,3.8,8,2.11
414,Liam Hendriks\hendrli01,30,OAK,AL,4,4,0.5,1.8,75,2,41,0,0,25,85,61,18,17,5,21,5,124,2,0,7,332,240,1.87,0.965,6.5,0.5,2.2,13.1,5.9
685,Freddy Peralta\peralfr01,23,MIL,NL,7,3,0.7,5.29,39,8,3,0,0,1,85,87,58,50,15,37,1,115,2,0,3,382,84,4.18,1.459,9.2,1.6,3.9,12.2,3.11
183,Taylor Clarke\clarkta01,26,ARI,NL,5,5,0.5,5.31,23,15,3,0,0,1,84.2,86,55,50,23,30,0,68,6,0,3,369,84,6.41,1.37,9.1,2.4,3.2,7.2,2.27
943,Jose Urena\urenajo01,27,MIA,NL,4,10,0.286,5.21,24,13,8,0,0,3,84.2,99,53,49,13,26,3,62,2,0,2,369,81,4.74,1.476,10.5,1.4,2.8,6.6,2.38
300,Wilmer Font\fontwi01,29,TOT,MLB,4,5,0.444,4.48,48,17,6,0,0,0,84.1,78,42,42,17,29,2,95,3,1,2,356,98,4.72,1.269,8.3,1.8,3.1,10.1,3.28
431,Derek Holland*\hollade01,32,TOT,NL,2,5,0.286,6.08,51,8,19,1,0,0,84.1,82,61,57,20,45,2,82,4,0,1,376,70,6.1,1.506,8.8,2.1,4.8,8.8,1.82
380,Junior Guerra\guerrju02,34,MIL,NL,9,5,0.643,3.55,72,0,11,0,0,3,83.2,58,35,33,11,36,2,77,4,0,5,344,126,4.52,1.124,6.2,1.2,3.9,8.3,2.14
526,Michael Lorenzen\lorenmi01,27,CIN,NL,1,4,0.2,2.92,73,0,16,0,0,7,83.1,68,29,27,9,28,1,85,2,0,2,343,156,3.66,1.152,7.3,1,3,9.2,3.04
1030,Alex Young*\youngal01,25,ARI,NL,7,5,0.583,3.56,17,15,0,0,0,0,83.1,72,40,33,14,27,4,71,4,0,2,349,125,4.81,1.188,7.8,1.5,2.9,7.7,2.63
698,Yusmeiro Petit\petityu01,34,OAK,AL,5,3,0.625,2.71,80,0,6,0,0,0,83,57,25,25,11,10,0,71,0,0,2,308,159,3.59,0.807,6.2,1.2,1.1,7.7,7.1
79,Jaime Barria\barrija01,22,LAA,AL,4,10,0.286,6.42,19,13,1,0,0,0,82.2,92,61,59,24,27,0,75,2,0,1,365,71,6.23,1.44,10,2.6,2.9,8.2,2.78
418,Elieser Hernandez\hernael01,24,MIA,NL,3,5,0.375,5.03,21,15,1,0,0,0,82.1,76,49,46,20,26,1,85,9,1,2,353,84,5.58,1.239,8.3,2.2,2.8,9.3,3.27
535,Jordan Lyles\lylesjo01,28,PIT,NL,5,7,0.417,5.36,17,17,0,0,0,0,82.1,88,53,49,16,33,1,90,1,0,4,361,80,4.79,1.47,9.6,1.7,3.6,9.8,2.73
1010,Asher Wojciechowski\wojcias01,30,BAL,AL,4,8,0.333,4.92,17,16,0,0,0,0,82.1,80,46,45,17,28,0,80,9,0,3,361,96,5.3,1.312,8.7,1.9,3.1,8.7,2.86
881,Craig Stammen\stammcr01,35,SDP,NL,8,7,0.533,3.29,76,0,12,0,0,4,82,80,36,30,13,15,2,73,2,0,0,339,129,4.12,1.159,8.8,1.4,1.6,8,4.87
168,Luis Cessa\cessalu01,27,NYY,AL,2,1,0.667,4.11,43,0,14,0,0,1,81,75,42,37,14,31,1,75,3,0,1,343,108,4.87,1.309,8.3,1.6,3.4,8.3,2.42
912,Jose Suarez*\suarejo01,21,LAA,AL,2,6,0.25,7.11,19,15,0,0,0,0,81,100,67,64,23,33,1,72,10,1,5,375,64,6.72,1.642,11.1,2.6,3.7,8,2.18
158,Carlos Carrasco\carraca01,32,CLE,AL,6,7,0.462,5.29,23,12,3,1,1,1,80,92,48,47,18,16,1,96,2,0,2,341,89,4.41,1.35,10.4,2,1.8,10.8,6
318,Zac Gallen\galleza01,23,TOT,NL,3,6,0.333,2.81,15,15,0,0,0,0,80,62,26,25,8,36,1,96,4,0,3,334,156,3.61,1.225,7,0.9,4.1,10.8,2.67
332,Kevin Gausman\gausmke01,28,ATL,NL,3,7,0.3,6.19,16,16,0,0,0,0,80,92,60,55,12,27,2,85,4,0,2,360,73,4.2,1.488,10.4,1.4,3,9.6,3.15
422,David Hess\hessda01,25,BAL,AL,1,10,0.091,7.09,23,14,5,0,0,0,80,94,73,63,28,30,0,68,2,0,1,365,67,7.26,1.55,10.6,3.2,3.4,7.7,2.27
532,Seth Lugo\lugose01,29,NYM,NL,7,4,0.636,2.7,61,0,14,0,0,6,80,56,28,24,8,16,4,104,5,0,2,314,150,2.7,0.9,6.3,0.9,1.8,11.7,6.5
